"batch"	"allele2"	"n"	"batch.freq"
"AxiomGT1_b01.calls"	"02:01"	962	0.114035087719298
"AxiomGT1_b01.calls"	"02:02"	308	0.0365101944049312
"AxiomGT1_b01.calls"	"03:01"	810	0.0960170697012802
"AxiomGT1_b01.calls"	"03:02"	1018	0.120673304883831
"AxiomGT1_b01.calls"	"03:03"	503	0.0596254148885728
"AxiomGT1_b01.calls"	"04:02"	675	0.0800142247510669
"AxiomGT1_b01.calls"	"05:01"	1450	0.171882408724514
"AxiomGT1_b01.calls"	"05:02"	60	0.00711237553342817
"AxiomGT1_b01.calls"	"05:03"	149	0.0176623992413466
"AxiomGT1_b01.calls"	"06:01"	3	0.000355618776671408
"AxiomGT1_b01.calls"	"06:02"	1367	0.162043622569938
"AxiomGT1_b01.calls"	"06:03"	844	0.10004741583689
"AxiomGT1_b01.calls"	"06:04"	276	0.0327169274537696
"AxiomGT1_b01.calls"	"06:09"	11	0.00130393551446183
"AxiomGT1_b02.calls"	"02:01"	877	0.0998178921010699
"AxiomGT1_b02.calls"	"02:02"	375	0.042681538811746
"AxiomGT1_b02.calls"	"03:01"	939	0.106874573184612
"AxiomGT1_b02.calls"	"03:02"	1000	0.113817436831323
"AxiomGT1_b02.calls"	"03:03"	539	0.0613475984520829
"AxiomGT1_b02.calls"	"03:04"	3	0.000341452310493968
"AxiomGT1_b02.calls"	"04:02"	818	0.0931026633280218
"AxiomGT1_b02.calls"	"05:01"	1651	0.187912588208514
"AxiomGT1_b02.calls"	"05:02"	77	0.00876394263601184
"AxiomGT1_b02.calls"	"05:03"	116	0.0132028226724334
"AxiomGT1_b02.calls"	"05:04"	1	0.000113817436831323
"AxiomGT1_b02.calls"	"06:01"	5	0.000569087184156613
"AxiomGT1_b02.calls"	"06:02"	1317	0.149897564306852
"AxiomGT1_b02.calls"	"06:03"	805	0.0916230366492147
"AxiomGT1_b02.calls"	"06:04"	245	0.027885272023674
"AxiomGT1_b02.calls"	"06:09"	18	0.00204871386296381
"AxiomGT1_b03.calls"	"02:01"	872	0.0988662131519274
"AxiomGT1_b03.calls"	"02:02"	370	0.0419501133786848
"AxiomGT1_b03.calls"	"03:01"	931	0.105555555555556
"AxiomGT1_b03.calls"	"03:02"	1041	0.118027210884354
"AxiomGT1_b03.calls"	"03:03"	485	0.0549886621315193
"AxiomGT1_b03.calls"	"03:04"	6	0.000680272108843537
"AxiomGT1_b03.calls"	"04:02"	866	0.0981859410430839
"AxiomGT1_b03.calls"	"05:01"	1791	0.203061224489796
"AxiomGT1_b03.calls"	"05:02"	88	0.00997732426303855
"AxiomGT1_b03.calls"	"05:03"	103	0.0116780045351474
"AxiomGT1_b03.calls"	"05:04"	1	0.000113378684807256
"AxiomGT1_b03.calls"	"06:01"	6	0.000680272108843537
"AxiomGT1_b03.calls"	"06:02"	1206	0.136734693877551
"AxiomGT1_b03.calls"	"06:03"	752	0.0852607709750567
"AxiomGT1_b03.calls"	"06:04"	281	0.031859410430839
"AxiomGT1_b03.calls"	"06:09"	21	0.00238095238095238
"AxiomGT1_b04.calls"	"02:01"	835	0.106342333163525
"AxiomGT1_b04.calls"	"02:02"	298	0.0379521141110545
"AxiomGT1_b04.calls"	"03:01"	865	0.110163015792155
"AxiomGT1_b04.calls"	"03:02"	878	0.111818644931228
"AxiomGT1_b04.calls"	"03:03"	468	0.0596026490066225
"AxiomGT1_b04.calls"	"03:04"	8	0.00101884870096791
"AxiomGT1_b04.calls"	"04:02"	785	0.0999745287824758
"AxiomGT1_b04.calls"	"05:01"	1557	0.198293428425879
"AxiomGT1_b04.calls"	"05:02"	68	0.0086602139582272
"AxiomGT1_b04.calls"	"05:03"	82	0.010443199184921
"AxiomGT1_b04.calls"	"06:01"	3	0.000382068262862965
"AxiomGT1_b04.calls"	"06:02"	1106	0.140855832908813
"AxiomGT1_b04.calls"	"06:03"	632	0.0804890473764646
"AxiomGT1_b04.calls"	"06:04"	243	0.0309475292919002
"AxiomGT1_b04.calls"	"06:09"	24	0.00305654610290372
"AxiomGT1_b05.calls"	"02:01"	460	0.1
"AxiomGT1_b05.calls"	"02:02"	185	0.0402173913043478
"AxiomGT1_b05.calls"	"03:01"	489	0.106304347826087
"AxiomGT1_b05.calls"	"03:02"	516	0.112173913043478
"AxiomGT1_b05.calls"	"03:03"	257	0.0558695652173913
"AxiomGT1_b05.calls"	"03:04"	5	0.00108695652173913
"AxiomGT1_b05.calls"	"04:02"	443	0.096304347826087
"AxiomGT1_b05.calls"	"05:01"	902	0.196086956521739
"AxiomGT1_b05.calls"	"05:02"	42	0.0091304347826087
"AxiomGT1_b05.calls"	"05:03"	55	0.0119565217391304
"AxiomGT1_b05.calls"	"05:04"	2	0.000434782608695652
"AxiomGT1_b05.calls"	"06:01"	2	0.000434782608695652
"AxiomGT1_b05.calls"	"06:02"	673	0.146304347826087
"AxiomGT1_b05.calls"	"06:03"	411	0.0893478260869565
"AxiomGT1_b05.calls"	"06:04"	152	0.0330434782608696
"AxiomGT1_b05.calls"	"06:09"	6	0.00130434782608696
"AxiomGT1_b06.calls"	"02:01"	656	0.0973293768545994
"AxiomGT1_b06.calls"	"02:02"	265	0.0393175074183976
"AxiomGT1_b06.calls"	"03:01"	795	0.117952522255193
"AxiomGT1_b06.calls"	"03:02"	774	0.114836795252226
"AxiomGT1_b06.calls"	"03:03"	398	0.0590504451038576
"AxiomGT1_b06.calls"	"03:04"	1	0.000148367952522255
"AxiomGT1_b06.calls"	"04:02"	622	0.0922848664688427
"AxiomGT1_b06.calls"	"05:01"	1287	0.190949554896142
"AxiomGT1_b06.calls"	"05:02"	61	0.00905044510385757
"AxiomGT1_b06.calls"	"05:03"	87	0.0129080118694362
"AxiomGT1_b06.calls"	"05:04"	2	0.00029673590504451
"AxiomGT1_b06.calls"	"06:01"	2	0.00029673590504451
"AxiomGT1_b06.calls"	"06:02"	992	0.147181008902077
"AxiomGT1_b06.calls"	"06:03"	550	0.0816023738872404
"AxiomGT1_b06.calls"	"06:04"	228	0.0338278931750742
"AxiomGT1_b06.calls"	"06:09"	20	0.0029673590504451
"AxiomGT1_b07.calls"	"02:01"	331	0.0957200694042799
"AxiomGT1_b07.calls"	"02:02"	141	0.040775014459225
"AxiomGT1_b07.calls"	"03:01"	349	0.100925390399075
"AxiomGT1_b07.calls"	"03:02"	391	0.113071139386929
"AxiomGT1_b07.calls"	"03:03"	190	0.0549450549450549
"AxiomGT1_b07.calls"	"03:04"	6	0.00173510699826489
"AxiomGT1_b07.calls"	"04:02"	347	0.100347021399653
"AxiomGT1_b07.calls"	"05:01"	674	0.19491035280509
"AxiomGT1_b07.calls"	"05:02"	32	0.0092539039907461
"AxiomGT1_b07.calls"	"05:03"	23	0.00665124349334876
"AxiomGT1_b07.calls"	"05:04"	2	0.000578368999421631
"AxiomGT1_b07.calls"	"06:01"	2	0.000578368999421631
"AxiomGT1_b07.calls"	"06:02"	515	0.14893001735107
"AxiomGT1_b07.calls"	"06:03"	315	0.0910931174089069
"AxiomGT1_b07.calls"	"06:04"	132	0.0381723539618276
"AxiomGT1_b07.calls"	"06:09"	8	0.00231347599768652
"AxiomGT1_b08.calls"	"02:01"	781	0.10916969527537
"AxiomGT1_b08.calls"	"02:02"	333	0.0465473860777188
"AxiomGT1_b08.calls"	"03:01"	720	0.100642996924797
"AxiomGT1_b08.calls"	"03:02"	1101	0.153899916130836
"AxiomGT1_b08.calls"	"03:03"	399	0.0557729941291585
"AxiomGT1_b08.calls"	"04:02"	665	0.0929549902152642
"AxiomGT1_b08.calls"	"05:01"	1345	0.188006709533128
"AxiomGT1_b08.calls"	"05:02"	64	0.00894604417109309
"AxiomGT1_b08.calls"	"05:03"	75	0.0104836455129997
"AxiomGT1_b08.calls"	"05:04"	1	0.00013978194017333
"AxiomGT1_b08.calls"	"06:01"	6	0.000838691641039978
"AxiomGT1_b08.calls"	"06:02"	824	0.115180318702824
"AxiomGT1_b08.calls"	"06:03"	560	0.0782778864970646
"AxiomGT1_b08.calls"	"06:04"	267	0.037321778026279
"AxiomGT1_b08.calls"	"06:09"	13	0.00181716522225328
"AxiomGT1_b09.calls"	"02:01"	1062	0.127185628742515
"AxiomGT1_b09.calls"	"02:02"	292	0.0349700598802395
"AxiomGT1_b09.calls"	"03:01"	716	0.085748502994012
"AxiomGT1_b09.calls"	"03:02"	1764	0.21125748502994
"AxiomGT1_b09.calls"	"03:03"	441	0.052814371257485
"AxiomGT1_b09.calls"	"03:04"	3	0.000359281437125748
"AxiomGT1_b09.calls"	"04:02"	787	0.094251497005988
"AxiomGT1_b09.calls"	"05:01"	1479	0.177125748502994
"AxiomGT1_b09.calls"	"05:02"	66	0.00790419161676647
"AxiomGT1_b09.calls"	"05:03"	84	0.010059880239521
"AxiomGT1_b09.calls"	"05:04"	2	0.000239520958083832
"AxiomGT1_b09.calls"	"06:01"	1	0.000119760479041916
"AxiomGT1_b09.calls"	"06:02"	797	0.0954491017964072
"AxiomGT1_b09.calls"	"06:03"	556	0.0665868263473054
"AxiomGT1_b09.calls"	"06:04"	289	0.0346107784431138
"AxiomGT1_b09.calls"	"06:09"	11	0.00131736526946108
"AxiomGT1_b10.calls"	"02:01"	986	0.137211244085722
"AxiomGT1_b10.calls"	"02:02"	289	0.0402170887837462
"AxiomGT1_b10.calls"	"03:01"	606	0.0843306429167826
"AxiomGT1_b10.calls"	"03:02"	1470	0.20456443083774
"AxiomGT1_b10.calls"	"03:03"	377	0.0524631227386585
"AxiomGT1_b10.calls"	"03:04"	2	0.000278318953520735
"AxiomGT1_b10.calls"	"04:02"	694	0.096576676871695
"AxiomGT1_b10.calls"	"05:01"	1178	0.163929863623713
"AxiomGT1_b10.calls"	"05:02"	55	0.00765377122182021
"AxiomGT1_b10.calls"	"05:03"	60	0.00834956860562204
"AxiomGT1_b10.calls"	"05:04"	1	0.000139159476760367
"AxiomGT1_b10.calls"	"06:02"	676	0.0940718062900083
"AxiomGT1_b10.calls"	"06:03"	496	0.0690231004731422
"AxiomGT1_b10.calls"	"06:04"	282	0.0392429724464236
"AxiomGT1_b10.calls"	"06:09"	14	0.00194823267464514
"AxiomGT1_b11.calls"	"02:01"	630	0.0936942296252231
"AxiomGT1_b11.calls"	"02:02"	261	0.0388161808447353
"AxiomGT1_b11.calls"	"03:01"	708	0.105294467578822
"AxiomGT1_b11.calls"	"03:02"	819	0.12180249851279
"AxiomGT1_b11.calls"	"03:03"	385	0.0572575847709697
"AxiomGT1_b11.calls"	"03:04"	1	0.000148720999405116
"AxiomGT1_b11.calls"	"03:19"	1	0.000148720999405116
"AxiomGT1_b11.calls"	"04:02"	709	0.105443188578227
"AxiomGT1_b11.calls"	"05:01"	1282	0.190660321237359
"AxiomGT1_b11.calls"	"05:02"	71	0.0105591909577632
"AxiomGT1_b11.calls"	"05:03"	74	0.0110053539559786
"AxiomGT1_b11.calls"	"06:01"	2	0.000297441998810232
"AxiomGT1_b11.calls"	"06:02"	891	0.132510410469958
"AxiomGT1_b11.calls"	"06:03"	627	0.0932480666270077
"AxiomGT1_b11.calls"	"06:04"	250	0.037180249851279
"AxiomGT1_b11.calls"	"06:09"	13	0.00193337299226651
"AxiomGT1_b12.calls"	"02:01"	271	0.120766488413547
"AxiomGT1_b12.calls"	"02:02"	82	0.036541889483066
"AxiomGT1_b12.calls"	"03:01"	204	0.0909090909090909
"AxiomGT1_b12.calls"	"03:02"	400	0.17825311942959
"AxiomGT1_b12.calls"	"03:03"	141	0.0628342245989305
"AxiomGT1_b12.calls"	"03:04"	2	0.00089126559714795
"AxiomGT1_b12.calls"	"04:02"	228	0.101604278074866
"AxiomGT1_b12.calls"	"05:01"	418	0.186274509803922
"AxiomGT1_b12.calls"	"05:02"	21	0.00935828877005348
"AxiomGT1_b12.calls"	"05:03"	23	0.0102495543672014
"AxiomGT1_b12.calls"	"05:04"	1	0.000445632798573975
"AxiomGT1_b12.calls"	"06:01"	1	0.000445632798573975
"AxiomGT1_b12.calls"	"06:02"	196	0.0873440285204991
"AxiomGT1_b12.calls"	"06:03"	172	0.0766488413547237
"AxiomGT1_b12.calls"	"06:04"	76	0.0338680926916221
"AxiomGT1_b12.calls"	"06:09"	8	0.0035650623885918
"AxiomGT1_b13.calls"	"02:01"	360	0.0916030534351145
"AxiomGT1_b13.calls"	"02:02"	203	0.0516539440203562
"AxiomGT1_b13.calls"	"03:01"	391	0.0994910941475827
"AxiomGT1_b13.calls"	"03:02"	443	0.112722646310433
"AxiomGT1_b13.calls"	"03:03"	214	0.0544529262086514
"AxiomGT1_b13.calls"	"03:04"	4	0.00101781170483461
"AxiomGT1_b13.calls"	"04:02"	445	0.11323155216285
"AxiomGT1_b13.calls"	"05:01"	840	0.213740458015267
"AxiomGT1_b13.calls"	"05:02"	40	0.0101781170483461
"AxiomGT1_b13.calls"	"05:03"	28	0.00712468193384224
"AxiomGT1_b13.calls"	"06:01"	4	0.00101781170483461
"AxiomGT1_b13.calls"	"06:02"	527	0.134096692111959
"AxiomGT1_b13.calls"	"06:03"	302	0.0768447837150127
"AxiomGT1_b13.calls"	"06:04"	125	0.0318066157760814
"AxiomGT1_b13.calls"	"06:09"	4	0.00101781170483461
"AxiomGT1_b16.calls"	"03:02"	1	0.25
"AxiomGT1_b16.calls"	"04:02"	1	0.25
"AxiomGT1_b16.calls"	"05:01"	1	0.25
"AxiomGT1_b16.calls"	"06:03"	1	0.25
"AxiomGT1_b17.calls"	"02:02"	1	0.166666666666667
"AxiomGT1_b17.calls"	"04:02"	2	0.333333333333333
"AxiomGT1_b17.calls"	"05:01"	1	0.166666666666667
"AxiomGT1_b17.calls"	"06:03"	2	0.333333333333333
"BOTNIA_DGI_R3_Drem"	"02:01"	294	0.110609480812641
"BOTNIA_DGI_R3_Drem"	"02:02"	123	0.04627539503386
"BOTNIA_DGI_R3_Drem"	"03:01"	281	0.105718585402558
"BOTNIA_DGI_R3_Drem"	"03:02"	330	0.124153498871332
"BOTNIA_DGI_R3_Drem"	"03:03"	128	0.0481565086531226
"BOTNIA_DGI_R3_Drem"	"04:02"	204	0.0767494356659142
"BOTNIA_DGI_R3_Drem"	"05:01"	477	0.179458239277652
"BOTNIA_DGI_R3_Drem"	"05:02"	15	0.00564334085778781
"BOTNIA_DGI_R3_Drem"	"05:03"	48	0.018058690744921
"BOTNIA_DGI_R3_Drem"	"06:02"	413	0.155379984951091
"BOTNIA_DGI_R3_Drem"	"06:03"	288	0.108352144469526
"BOTNIA_DGI_R3_Drem"	"06:04"	56	0.0210684725357412
"BOTNIA_DGI_R3_Drem"	"06:09"	1	0.000376222723852521
"BOTNIA_T2DGo_R3_Drem"	"02:01"	105	0.125
"BOTNIA_T2DGo_R3_Drem"	"02:02"	42	0.05
"BOTNIA_T2DGo_R3_Drem"	"03:01"	96	0.114285714285714
"BOTNIA_T2DGo_R3_Drem"	"03:02"	88	0.104761904761905
"BOTNIA_T2DGo_R3_Drem"	"03:03"	42	0.05
"BOTNIA_T2DGo_R3_Drem"	"03:04"	1	0.00119047619047619
"BOTNIA_T2DGo_R3_Drem"	"04:02"	57	0.0678571428571429
"BOTNIA_T2DGo_R3_Drem"	"05:01"	147	0.175
"BOTNIA_T2DGo_R3_Drem"	"05:02"	3	0.00357142857142857
"BOTNIA_T2DGo_R3_Drem"	"05:03"	11	0.0130952380952381
"BOTNIA_T2DGo_R3_Drem"	"06:02"	137	0.163095238095238
"BOTNIA_T2DGo_R3_Drem"	"06:03"	84	0.1
"BOTNIA_T2DGo_R3_Drem"	"06:04"	26	0.030952380952381
"BOTNIA_T2DGo_R3_Drem"	"06:09"	1	0.00119047619047619
"FINRISK_bf_R3_Drem"	"02:01"	99	0.0933962264150943
"FINRISK_bf_R3_Drem"	"02:02"	36	0.0339622641509434
"FINRISK_bf_R3_Drem"	"03:01"	114	0.107547169811321
"FINRISK_bf_R3_Drem"	"03:02"	129	0.121698113207547
"FINRISK_bf_R3_Drem"	"03:03"	50	0.0471698113207547
"FINRISK_bf_R3_Drem"	"04:02"	137	0.129245283018868
"FINRISK_bf_R3_Drem"	"05:01"	188	0.177358490566038
"FINRISK_bf_R3_Drem"	"05:02"	9	0.00849056603773585
"FINRISK_bf_R3_Drem"	"05:03"	9	0.00849056603773585
"FINRISK_bf_R3_Drem"	"06:02"	153	0.144339622641509
"FINRISK_bf_R3_Drem"	"06:03"	105	0.0990566037735849
"FINRISK_bf_R3_Drem"	"06:04"	29	0.0273584905660377
"FINRISK_bf_R3_Drem"	"06:09"	2	0.00188679245283019
"FINRISK_Corogene_R3_Drem"	"02:01"	334	0.0973760932944606
"FINRISK_Corogene_R3_Drem"	"02:02"	160	0.0466472303206997
"FINRISK_Corogene_R3_Drem"	"03:01"	412	0.120116618075802
"FINRISK_Corogene_R3_Drem"	"03:02"	412	0.120116618075802
"FINRISK_Corogene_R3_Drem"	"03:03"	207	0.0603498542274052
"FINRISK_Corogene_R3_Drem"	"03:04"	1	0.000291545189504373
"FINRISK_Corogene_R3_Drem"	"04:02"	314	0.0915451895043732
"FINRISK_Corogene_R3_Drem"	"05:01"	648	0.188921282798834
